P6B	824	1457
P6C	807	1402
P7A	823	1442
P7B	905	1595
P7C	860	1528
P7E	854	1487
P7G	745	1375
P7J	754	1432
P7K	734	1369
P7L	753	1347
P8N	655	1370
P8T	748	1645
P9A	693	1422
P9N	712	1443
